motif_id,cluster_id
MA1101.2,cluster_1
MA0841.1,cluster_1
MA0476.1,cluster_1
MA1988.1,cluster_1
MA0835.2,cluster_1
MA0462.2,cluster_1
MA1634.1,cluster_1
MA0655.1,cluster_1
MA1633.2,cluster_1
MA1132.1,cluster_1
MA1142.1,cluster_1
MA0099.3,cluster_1
MA1144.1,cluster_1
MA1135.1,cluster_1
MA1138.1,cluster_1
MA0478.1,cluster_1
MA0477.2,cluster_1
MA0490.2,cluster_1
MA0491.2,cluster_1
MA1137.1,cluster_1
MA1128.1,cluster_1
MA1141.1,cluster_1
MA1134.1,cluster_1
MA1928.1,cluster_1
MA1130.1,cluster_1
MA0489.2,cluster_1
MA0501.1,cluster_1
MA0150.2,cluster_1
MA1520.1,cluster_1
MA1521.1,cluster_1
MA0496.3,cluster_1
MA0089.2,cluster_1
MA0591.1,cluster_1
MA0659.3,cluster_1
MA0877.3,cluster_10
MA0635.1,cluster_10
MA0041.2,cluster_10
MA0847.3,cluster_10
MA1487.2,cluster_10
MA0084.1,cluster_10
MA0850.1,cluster_10
MA0033.2,cluster_10
MA0042.2,cluster_10
MA0848.1,cluster_10
MA0849.1,cluster_10
MA1489.1,cluster_10
MA0031.1,cluster_10
MA0613.1,cluster_10
MA0614.1,cluster_10
MA0040.1,cluster_10
MA0851.1,cluster_10
MA1607.1,cluster_10
MA0030.1,cluster_10
MA0846.1,cluster_10
MA0845.1,cluster_10
MA0032.2,cluster_10
MA0852.2,cluster_10
MA0593.1,cluster_10
MA1606.1,cluster_10
MA0480.2,cluster_10
MA1103.2,cluster_10
MA0047.3,cluster_10
MA1683.1,cluster_10
MA0481.3,cluster_10
MA0148.4,cluster_10
MA0157.3,cluster_10
MA1987.1,cluster_100
MA0602.1,cluster_101
MA1583.1,cluster_102
MA1597.1,cluster_103
MA1731.1,cluster_104
MA0631.1,cluster_105
MA0615.1,cluster_106
MA1714.1,cluster_107
MA0883.1,cluster_108
MA1616.1,cluster_109
MA0029.1,cluster_11
MA0766.2,cluster_11
MA0035.4,cluster_11
MA0036.3,cluster_11
MA1104.2,cluster_11
MA0482.2,cluster_11
MA1970.1,cluster_11
MA0037.4,cluster_11
MA0164.1,cluster_110
MA1684.1,cluster_110
MA1589.1,cluster_111
MA1719.1,cluster_112
MA0508.3,cluster_113
MA1592.1,cluster_114
MA0629.1,cluster_115
MA0131.2,cluster_116
MA0083.3,cluster_117
MA1975.1,cluster_118
MA0145.2,cluster_119
MA0594.2,cluster_12
MA0905.1,cluster_12
MA0908.1,cluster_12
MA1503.1,cluster_12
MA0485.2,cluster_12
MA0907.1,cluster_12
MA0911.1,cluster_12
MA0651.2,cluster_12
MA0873.1,cluster_12
MA0906.1,cluster_12
MA1506.1,cluster_12
MA0140.2,cluster_120
MA1594.1,cluster_121
MA1573.2,cluster_121
MA1984.1,cluster_122
MA1712.1,cluster_123
MA1580.1,cluster_124
MA0863.1,cluster_125
MA1711.1,cluster_126
MA1647.2,cluster_127
MA1715.1,cluster_128
MA1980.1,cluster_129
MA0009.2,cluster_13
MA0804.1,cluster_13
MA0595.1,cluster_13
MA0596.1,cluster_13
MA1960.1,cluster_13
MA0806.1,cluster_13
MA0807.1,cluster_13
MA0801.1,cluster_13
MA0803.1,cluster_13
MA0805.1,cluster_13
MA0800.1,cluster_13
MA1567.2,cluster_13
MA1565.1,cluster_13
MA0802.1,cluster_13
MA0689.1,cluster_13
MA0688.1,cluster_13
MA0690.2,cluster_13
MA1566.2,cluster_13
MA1983.1,cluster_130
MA0130.1,cluster_131
MA1155.1,cluster_132
MA1722.1,cluster_133
MA0138.2,cluster_134
MA0073.1,cluster_135
MA1575.1,cluster_136
MA1973.1,cluster_137
MA1985.1,cluster_14
MA1538.1,cluster_14
MA1539.1,cluster_14
MA1146.1,cluster_14
MA1147.1,cluster_14
MA1602.1,cluster_15
MA1153.1,cluster_15
MA0795.1,cluster_15
MA1557.1,cluster_15
MA1579.1,cluster_16
MA1649.1,cluster_16
MA0771.1,cluster_16
MA0486.2,cluster_16
MA0770.1,cluster_16
MA0502.2,cluster_17
MA0060.3,cluster_17
MA1644.1,cluster_17
MA0862.1,cluster_18
MA0604.1,cluster_18
MA1470.1,cluster_18
MA1143.1,cluster_18
MA1129.1,cluster_18
MA1136.1,cluster_18
MA1127.1,cluster_18
MA1131.1,cluster_18
MA1475.1,cluster_18
MA1133.1,cluster_18
MA1139.1,cluster_18
MA0605.2,cluster_18
MA0840.1,cluster_18
MA0656.1,cluster_18
MA1140.2,cluster_18
MA0609.2,cluster_18
MA1145.1,cluster_18
MA0834.1,cluster_18
MA1951.1,cluster_18
MA1126.1,cluster_18
MA0492.1,cluster_18
MA0488.1,cluster_18
MA1632.1,cluster_18
MA0018.4,cluster_18
MA0007.3,cluster_19
MA0113.3,cluster_19
MA0727.1,cluster_19
MA1600.1,cluster_2
MA0114.4,cluster_2
MA0484.2,cluster_2
MA0808.1,cluster_2
MA0809.2,cluster_2
MA1121.1,cluster_2
MA0090.3,cluster_2
MA1552.1,cluster_20
MA1553.1,cluster_20
MA1555.1,cluster_20
MA1556.1,cluster_20
MA0014.3,cluster_20
MA1995.1,cluster_20
MA0004.1,cluster_21
MA0006.1,cluster_21
MA0822.1,cluster_21
MA0608.1,cluster_21
MA0259.1,cluster_21
MA0622.1,cluster_21
MA1106.1,cluster_21
MA0819.2,cluster_21
MA0059.1,cluster_21
MA0147.3,cluster_21
MA0104.4,cluster_21
MA0464.2,cluster_21
MA1464.1,cluster_21
MA0663.1,cluster_21
MA0664.1,cluster_21
MA0692.1,cluster_21
MA0831.3,cluster_21
MA0636.1,cluster_21
MA1493.1,cluster_21
MA1099.2,cluster_21
MA0649.1,cluster_21
MA0616.2,cluster_21
MA0823.1,cluster_21
MA0821.2,cluster_21
MA1560.1,cluster_21
MA0626.1,cluster_21
MA0058.3,cluster_21
MA0825.1,cluster_21
MA0526.4,cluster_21
MA0871.2,cluster_21
MA0603.1,cluster_21
MA1474.1,cluster_21
MA0844.1,cluster_21
MA0638.1,cluster_21
MA0839.1,cluster_21
MA1466.1,cluster_21
MA0620.3,cluster_21
MA0093.3,cluster_21
MA0829.2,cluster_21
MA0828.2,cluster_21
MA0896.1,cluster_22
MA0897.1,cluster_22
MA0898.1,cluster_22
MA1518.2,cluster_22
MA0874.1,cluster_22
MA0853.1,cluster_22
MA0854.1,cluster_22
MA0069.1,cluster_23
MA0067.2,cluster_23
MA0779.1,cluster_23
MA0781.1,cluster_23
MA0619.1,cluster_24
MA0142.1,cluster_24
MA1962.1,cluster_24
MA0789.1,cluster_24
MA0792.1,cluster_24
MA0784.2,cluster_24
MA1115.1,cluster_24
MA0788.1,cluster_24
MA0786.1,cluster_24
MA0787.1,cluster_24
MA0785.1,cluster_24
MA0627.2,cluster_24
MA0507.2,cluster_24
MA0509.3,cluster_25
MA0798.3,cluster_25
MA0600.2,cluster_25
MA0510.2,cluster_25
MA1554.1,cluster_25
MA1724.1,cluster_25
MA0799.2,cluster_25
MA0610.1,cluster_26
MA1479.1,cluster_26
MA1478.1,cluster_26
MA1707.1,cluster_26
MA1514.1,cluster_27
MA0657.1,cluster_27
MA1107.2,cluster_27
MA1627.1,cluster_27
MA0472.2,cluster_27
MA0162.4,cluster_27
MA0732.1,cluster_27
MA0733.1,cluster_27
MA1578.1,cluster_27
MA0528.2,cluster_27
MA1965.1,cluster_27
MA1516.1,cluster_27
MA1515.1,cluster_27
MA1517.1,cluster_27
MA0741.1,cluster_27
MA1512.1,cluster_27
MA0746.2,cluster_27
MA0747.1,cluster_27
MA1564.1,cluster_27
MA0599.1,cluster_27
MA1959.1,cluster_27
MA0493.2,cluster_27
MA0079.5,cluster_27
MA0685.2,cluster_27
MA0516.3,cluster_27
MA0740.2,cluster_27
MA0742.2,cluster_27
MA1511.2,cluster_27
MA1513.1,cluster_27
MA1961.1,cluster_27
MA0753.2,cluster_27
MA0039.4,cluster_27
MA1522.1,cluster_27
MA1653.1,cluster_27
MA1630.2,cluster_27
MA1643.1,cluster_28
MA0119.1,cluster_28
MA1527.1,cluster_28
MA1528.1,cluster_28
MA0479.1,cluster_29
MA1480.1,cluster_29
MA0719.1,cluster_29
MA0711.1,cluster_29
MA0682.2,cluster_29
MA1547.2,cluster_29
MA0712.2,cluster_29
MA0714.1,cluster_29
MA0467.2,cluster_29
MA0648.1,cluster_29
MA0891.1,cluster_29
MA1608.1,cluster_3
MA0700.2,cluster_3
MA0885.2,cluster_3
MA1476.2,cluster_3
MA0703.2,cluster_3
MA0601.1,cluster_3
MA0793.1,cluster_3
MA1549.1,cluster_3
MA1530.1,cluster_3
MA0724.1,cluster_3
MA0125.1,cluster_3
MA0642.2,cluster_3
MA1500.1,cluster_3
MA1502.1,cluster_3
MA0910.2,cluster_3
MA1498.2,cluster_3
MA0875.1,cluster_3
MA0876.1,cluster_3
MA0674.1,cluster_3
MA0675.1,cluster_3
MA0893.2,cluster_3
MA1496.1,cluster_3
MA1499.1,cluster_3
MA1504.1,cluster_3
MA1507.1,cluster_3
MA0618.1,cluster_3
MA0707.2,cluster_3
MA0068.2,cluster_3
MA0709.1,cluster_3
MA0666.2,cluster_3
MA0708.2,cluster_3
MA0879.2,cluster_3
MA0882.1,cluster_3
MA0880.1,cluster_3
MA0881.1,cluster_3
MA1481.1,cluster_3
MA0644.2,cluster_3
MA0027.2,cluster_3
MA1577.1,cluster_3
MA0654.1,cluster_3
MA0720.1,cluster_3
MA0630.1,cluster_3
MA0716.1,cluster_3
MA0717.1,cluster_3
MA0721.1,cluster_3
MA1519.1,cluster_3
MA0701.2,cluster_3
MA0075.3,cluster_3
MA1505.1,cluster_3
MA1495.1,cluster_3
MA0904.2,cluster_3
MA0612.2,cluster_3
MA0900.2,cluster_3
MA0158.2,cluster_3
MA0902.2,cluster_3
MA0132.2,cluster_3
MA0723.2,cluster_3
MA0705.1,cluster_3
MA0704.1,cluster_3
MA0702.2,cluster_3
MA0912.2,cluster_3
MA0722.1,cluster_3
MA0725.1,cluster_3
MA0726.1,cluster_3
MA0621.1,cluster_3
MA1497.1,cluster_3
MA1501.1,cluster_3
MA0661.1,cluster_3
MA0706.1,cluster_3
MA0887.1,cluster_3
MA0888.1,cluster_3
MA0892.1,cluster_3
MA0903.1,cluster_3
MA0662.1,cluster_3
MA0634.1,cluster_3
MA0718.1,cluster_3
MA0894.1,cluster_3
MA0699.1,cluster_3
MA0889.1,cluster_3
MA0890.1,cluster_3
MA1463.1,cluster_3
MA0710.1,cluster_3
MA0886.1,cluster_3
MA0658.1,cluster_3
MA0628.1,cluster_3
MA0660.1,cluster_30
MA0773.1,cluster_30
MA0497.1,cluster_30
MA0052.4,cluster_30
MA1149.1,cluster_31
MA0159.1,cluster_31
MA0730.1,cluster_31
MA0858.1,cluster_31
MA1599.1,cluster_32
MA1117.1,cluster_32
MA0056.2,cluster_32
MA0105.4,cluster_32
MA0778.1,cluster_32
MA0101.1,cluster_32
MA0107.1,cluster_32
MA1968.1,cluster_33
MA0647.1,cluster_33
MA1105.2,cluster_33
MA1119.1,cluster_33
MA1118.1,cluster_33
MA2001.1,cluster_33
MA1114.1,cluster_34
MA0782.2,cluster_34
MA0498.2,cluster_34
MA0774.1,cluster_34
MA0775.1,cluster_34
MA0756.2,cluster_35
MA0780.1,cluster_35
MA0755.1,cluster_35
MA0754.2,cluster_35
MA0694.1,cluster_36
MA0695.1,cluster_36
MA1990.1,cluster_36
MA0734.3,cluster_36
MA0743.2,cluster_37
MA0744.2,cluster_37
MA0681.2,cluster_38
MA0884.2,cluster_38
MA0468.1,cluster_38
MA0713.1,cluster_38
MA0715.1,cluster_38
MA0592.3,cluster_39
MA0505.2,cluster_39
MA1541.1,cluster_39
MA1540.2,cluster_39
MA1150.1,cluster_39
MA0072.1,cluster_39
MA1151.1,cluster_39
MA0676.1,cluster_39
MA1534.1,cluster_39
MA0693.3,cluster_39
MA0071.1,cluster_39
MA0160.2,cluster_39
MA1535.1,cluster_39
MA1536.1,cluster_39
MA0017.2,cluster_39
MA1112.2,cluster_39
MA0643.1,cluster_39
MA0141.3,cluster_39
MA1110.2,cluster_39
MA1111.1,cluster_39
MA1996.1,cluster_39
MA0769.2,cluster_4
MA1421.1,cluster_4
MA0768.2,cluster_4
MA0523.1,cluster_4
MA1991.1,cluster_4
MA1494.1,cluster_4
MA1148.1,cluster_4
MA0115.1,cluster_4
MA0677.1,cluster_4
MA0855.1,cluster_4
MA0512.2,cluster_4
MA0856.1,cluster_4
MA1550.1,cluster_4
MA1537.1,cluster_4
MA1574.1,cluster_4
MA0065.2,cluster_4
MA0504.1,cluster_4
MA1945.1,cluster_40
MA1967.1,cluster_40
MA1934.1,cluster_40
MA1941.1,cluster_40
MA1966.1,cluster_40
MA0790.1,cluster_41
MA0683.1,cluster_41
MA0791.1,cluster_41
MA1471.1,cluster_41
MA0046.2,cluster_41
MA0153.2,cluster_41
MA0070.1,cluster_41
MA1640.1,cluster_41
MA1639.1,cluster_41
MA1113.2,cluster_41
MA0757.1,cluster_41
MA0679.2,cluster_41
MA0135.1,cluster_41
MA0680.2,cluster_41
MA1709.1,cluster_42
MA1418.1,cluster_42
MA0772.1,cluster_42
MA0653.1,cluster_42
MA1419.1,cluster_42
MA0652.1,cluster_42
MA1420.1,cluster_42
MA1623.1,cluster_42
MA0050.3,cluster_42
MA0517.1,cluster_42
MA0051.1,cluster_42
MA1509.1,cluster_42
MA1971.1,cluster_42
MA0520.1,cluster_43
MA0731.1,cluster_43
MA0463.2,cluster_43
MA1625.1,cluster_43
MA0518.1,cluster_43
MA0519.1,cluster_43
MA1624.1,cluster_43
MA0137.3,cluster_43
MA0144.2,cluster_43
MA0152.2,cluster_44
MA0606.2,cluster_44
MA0624.2,cluster_44
MA0625.2,cluster_44
MA1525.2,cluster_44
MA1116.1,cluster_44
MA1601.2,cluster_44
MA1963.1,cluster_45
MA1125.1,cluster_45
MA0901.2,cluster_45
MA0465.2,cluster_45
MA0650.3,cluster_45
MA0909.3,cluster_45
MA0878.3,cluster_45
MA0913.2,cluster_45
MA0899.1,cluster_45
MA1473.1,cluster_45
MA0696.1,cluster_46
MA0751.1,cluster_46
MA1584.1,cluster_46
MA0736.1,cluster_46
MA0737.1,cluster_46
MA0735.1,cluster_46
MA1491.2,cluster_46
MA1531.1,cluster_47
MA1532.2,cluster_47
MA0729.1,cluster_47
MA0857.1,cluster_47
MA0728.1,cluster_47
MA0859.1,cluster_47
MA0777.1,cluster_48
MA0776.1,cluster_48
MA1544.1,cluster_48
MA1545.1,cluster_48
MA0738.1,cluster_49
MA0739.1,cluster_49
MA0161.2,cluster_49
MA0670.1,cluster_49
MA0671.1,cluster_49
MA1979.1,cluster_49
MA0597.2,cluster_49
MA0019.1,cluster_5
MA1636.1,cluster_5
MA0833.2,cluster_5
MA0102.4,cluster_5
MA0836.2,cluster_5
MA0043.3,cluster_5
MA0025.2,cluster_5
MA0843.1,cluster_5
MA0639.1,cluster_5
MA0838.1,cluster_5
MA0466.3,cluster_5
MA0837.2,cluster_5
MA0106.3,cluster_50
MA0525.2,cluster_50
MA0861.1,cluster_50
MA0495.3,cluster_51
MA0117.2,cluster_51
MA0842.2,cluster_51
MA0646.1,cluster_52
MA0767.1,cluster_52
MA1727.1,cluster_53
MA0024.3,cluster_53
MA0470.2,cluster_53
MA0864.2,cluster_53
MA0469.3,cluster_53
MA0748.2,cluster_53
MA1122.1,cluster_53
MA0471.2,cluster_53
MA0758.1,cluster_53
MA0865.2,cluster_53
MA1523.1,cluster_54
MA1645.1,cluster_54
MA0063.2,cluster_54
MA0122.3,cluster_54
MA1994.1,cluster_54
MA0673.1,cluster_54
MA2003.1,cluster_54
MA0914.1,cluster_54
MA0672.1,cluster_54
